1.0903 	EXP 	instruction_text_1: autoDraw = True
1.1258 	EXP 	Device response: <KeyPress from None: t=1.044656040990958, value=space, duration=0.07235166701138951>
1.2182 	DATA 	Keypress: space
1.2256 	EXP 	Device response: <KeyPress from None: t=1.210645665996708, value=space, duration=None>
1.2316 	DEBUG 	Read excel file with openpyxl: list/list.xlsx
1.2326 	EXP 	Imported list/list.xlsx as conditions, 6 conditions, 8 params
1.2334 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'relpicture': './img/5.jpg', 'recog': './img/5.jpg', 'correct': 'y', 'irr_1': './img/6.jpg', 'irr_2': './img/1.jpg', 'irr_3': './img/2.jpg', 'irr_4': './img/3.jpg', 'irr_5': './img/4.jpg', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
3.0308 	EXP 	Device response: <KeyPress from None: t=1.210645665996708, value=space, duration=0.052780708007048815>
3.0309 	EXP 	Device response: <KeyPress from None: t=1.3467252489936072, value=space, duration=None>
3.0310 	EXP 	Device response: <KeyPress from None: t=1.3467252489936072, value=space, duration=0.052238459000363946>
3.0311 	EXP 	Device response: <KeyPress from None: t=1.4750112489855383, value=space, duration=None>
3.0311 	EXP 	Device response: <KeyPress from None: t=1.4750112489855383, value=space, duration=0.043928541999775916>
3.0312 	EXP 	Device response: <KeyPress from None: t=1.7086189159890637, value=space, duration=None>
3.0313 	EXP 	Device response: <KeyPress from None: t=1.7086189159890637, value=space, duration=0.0643144579953514>
3.0314 	EXP 	Device response: <KeyPress from None: t=2.8475914580048993, value=space, duration=None>
3.0314 	EXP 	Device response: <KeyPress from None: t=2.8475914580048993, value=space, duration=0.08831741599715315>
3.0514 	DATA 	Keypress: space
3.0533 	DATA 	Keypress: space
3.0542 	DATA 	Keypress: space
3.0550 	DATA 	Keypress: space
3.0736 	EXP 	instruction_text_1: autoDraw = False
3.0736 	EXP 	KeepInMindSlide_image_1: image = './img/5.jpg'
3.0736 	EXP 	KeepInMindSlide_image_1: autoDraw = True
3.0736 	EXP 	KeepInMindSlide_text_1: autoDraw = True
5.0568 	EXP 	KeepInMindSlide_image_1: autoDraw = False
5.0568 	EXP 	KeepInMindSlide_text_1: autoDraw = False
5.0568 	EXP 	fixation_polygon_1: autoDraw = True
5.7422 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
5.7569 	EXP 	fixation_polygon_1: autoDraw = False
5.7569 	EXP 	ISI_polygon_1: autoDraw = True
5.8569 	EXP 	ISI_polygon_1: autoDraw = False
5.8569 	EXP 	RSVP_image_1: image = './img/2.jpg'
5.8569 	EXP 	RSVP_image_1: autoDraw = True
6.4419 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
6.4569 	EXP 	RSVP_image_1: autoDraw = False
6.4569 	EXP 	ISI_polygon_1: autoDraw = True
6.5404 	EXP 	ISI_polygon_1: autoDraw = False
6.5404 	EXP 	RSVP_image_1: image = './img/1.jpg'
6.5404 	EXP 	RSVP_image_1: autoDraw = True
